<Saved Data Information>
���� �Ͻ� = 2016-12-07 19:26:01
���� ���� = 40

No,Measured DateTime,Calibration DB,Temperature [C],Tree [No],Sugar [Brix],Acidity [%],Firmness [Kgf],DryMatter [%],Coloring [%],Size,Browning
1,2016-12-07 18:48:27,Apple,32,0,17.5,0.00,0.00,15.9,0.0,0,Br
2,2016-12-07 18:48:40,Apple,32,0,13.8,0.00,0.68,15.7,0.0,0,N
3,2016-12-07 18:48:47,Apple,32,0,13.8,0.00,0.66,15.8,0.0,0,N
4,2016-12-07 18:48:55,Apple,32,0,13.8,0.00,0.66,15.7,0.0,0,N
5,2016-12-07 18:49:02,Apple,32,0,13.9,0.00,0.65,15.8,0.0,0,N
6,2016-12-07 18:49:08,Apple,32,0,13.7,0.00,0.66,15.6,0.0,0,N
7,2016-12-07 18:49:17,Apple,32,0,14.5,0.00,0.63,16.1,0.0,0,N
8,2016-12-07 18:49:23,Apple,32,0,13.5,0.00,0.68,15.1,0.0,0,N
9,2016-12-07 18:49:30,Apple,32,0,13.7,0.00,0.66,15.4,0.0,0,N
10,2016-12-07 18:49:37,Apple,32,0,14.4,0.00,0.50,16.1,0.0,0,N
11,2016-12-07 18:49:43,Apple,32,0,14.9,0.00,0.60,16.6,0.0,0,N
12,2016-12-07 18:49:49,Apple,32,0,14.8,0.00,0.49,16.2,0.0,0,N
13,2016-12-07 18:49:57,Apple,32,0,13.7,0.00,0.68,15.4,0.0,0,N
14,2016-12-07 18:50:06,Apple,32,0,3.1,0.00,0.00,0.0,0.0,0,N
15,2016-12-07 18:50:12,Apple,32,0,14.2,0.00,0.59,15.9,0.0,0,N
16,2016-12-07 18:50:19,Apple,32,0,14.8,0.00,0.48,16.3,0.0,0,N
17,2016-12-07 18:50:26,Apple,32,0,14.1,0.00,0.60,15.7,0.0,0,N
18,2016-12-07 18:50:31,Apple,32,0,13.9,0.00,0.60,15.5,0.0,0,N
19,2016-12-07 18:50:38,Apple,32,0,13.6,0.00,0.63,15.3,0.0,0,N
20,2016-12-07 18:50:44,Apple,32,0,13.5,0.00,0.62,15.2,0.0,0,N
21,2016-12-07 18:50:54,Apple,32,0,13.9,0.00,0.62,15.5,0.0,0,N
22,2016-12-07 18:51:03,Apple,32,0,14.8,0.00,0.58,16.4,0.0,0,N
23,2016-12-07 18:51:10,Apple,32,0,14.3,0.00,0.60,15.7,0.0,0,N
24,2016-12-07 18:51:16,Apple,32,0,15.9,0.00,0.69,17.2,0.0,0,N
25,2016-12-07 18:51:33,Apple,33,0,13.0,0.00,0.80,14.7,0.0,0,N
26,2016-12-07 18:53:13,persimon,33,0,15.1,0.00,0.00,0.0,0.0,0,0
27,2016-12-07 18:53:19,persimon,33,0,14.7,0.00,0.00,0.0,0.0,0,0
28,2016-12-07 18:53:25,persimon,33,0,14.7,0.00,0.00,0.0,0.0,0,0
29,2016-12-07 18:53:31,persimon,33,0,14.6,0.00,0.00,0.0,0.0,0,0
30,2016-12-07 18:53:38,persimon,33,0,14.4,0.00,0.00,0.0,0.0,0,0
31,2016-12-07 18:53:44,persimon,34,0,15.2,0.00,0.00,0.0,0.0,0,0
32,2016-12-07 18:53:50,persimon,34,0,15.5,0.00,0.00,0.0,0.0,0,0
33,2016-12-07 18:53:56,persimon,34,0,15.5,0.00,0.00,0.0,0.0,0,0
34,2016-12-07 18:54:02,persimon,34,0,15.5,0.00,0.00,0.0,0.0,0,0
35,2016-12-07 18:54:07,persimon,34,0,14.6,0.00,0.00,0.0,0.0,0,0
36,2016-12-07 18:54:13,persimon,34,0,14.3,0.00,0.00,0.0,0.0,0,0
37,2016-12-07 18:54:19,persimon,34,0,14.9,0.00,0.00,0.0,0.0,0,0
38,2016-12-07 18:54:25,persimon,34,0,15.2,0.00,0.00,0.0,0.0,0,0
39,2016-12-07 18:54:31,persimon,34,0,14.8,0.00,0.00,0.0,0.0,0,0
40,2016-12-07 18:54:37,persimon,34,0,14.8,0.00,0.00,0.0,0.0,0,0
<EOF>
